checkpoint,arch,attack,eps,alpha,mode,clean_accuracy,robust_accuracy,clean_correct,robust_correct,total,load_target,load_variant,missing_keys,unexpected_keys,state_dict_keys,device,seconds,status,error
models/cifar10/Linf/ResNet-AT.pt,resnet50,fgsm,8.0,8.0,zero,0.869300,0.480000,8693,4800,10000,wrapper,as_saved,,,322,cuda,4.503,ok,
models/cifar10/Linf/ResNet-AT.pt,resnet50,fgsm,4.0,4.0,zero,0.869300,0.673000,8693,6730,10000,wrapper,as_saved,,,322,cuda,4.399,ok,
models/cifar10/Linf/ResNet-AT_v2.pt,resnet50,fgsm,8.0,8.0,zero,0.899400,0.443400,8994,4434,10000,wrapper,as_saved,,,322,cuda,4.419,ok,
models/cifar10/Linf/ResNet-AT_v2.pt,resnet50,fgsm,4.0,4.0,zero,0.899400,0.642400,8994,6424,10000,wrapper,as_saved,,,322,cuda,4.406,ok,
models/cifar10/Linf/ResNet-TRADES.pt,resnet50,fgsm,8.0,8.0,zero,0.306100,0.123500,3061,1235,10000,wrapper,as_saved,,,322,cuda,4.429,ok,
models/cifar10/Linf/ResNet-TRADES.pt,resnet50,fgsm,4.0,4.0,zero,0.306100,0.193100,3061,1931,10000,wrapper,as_saved,,,322,cuda,4.463,ok,
models/cifar10/Linf/ResNet.pt,resnet50,fgsm,8.0,8.0,zero,0.922700,0.200200,9227,2002,10000,wrapper,as_saved,,,322,cuda,4.434,ok,
models/cifar10/Linf/ResNet.pt,resnet50,fgsm,4.0,4.0,zero,0.922700,0.259100,9227,2591,10000,wrapper,as_saved,,,322,cuda,4.416,ok,
models/cifar10/Linf/ResNet_AA.pt,resnet50_aa,fgsm,8.0,8.0,zero,0.936500,0.228200,9365,2282,10000,wrapper,as_saved,,,328,cuda,5.470,ok,
models/cifar10/Linf/ResNet_AA.pt,resnet50_aa,fgsm,4.0,4.0,zero,0.936500,0.275300,9365,2753,10000,wrapper,as_saved,,,328,cuda,5.433,ok,
models/cifar10/Linf/ResNet_LipReg-AT.pt,lipreg,fgsm,8.0,8.0,zero,0.785000,0.246000,7850,2460,10000,wrapper,as_saved,,,322,cuda,4.841,ok,
models/cifar10/Linf/ResNet_LipReg-AT.pt,lipreg,fgsm,4.0,4.0,zero,0.785000,0.335000,7850,3350,10000,wrapper,as_saved,,,322,cuda,4.770,ok,
models/cifar10/Linf/ResNet_LipReg.pt,lipreg,fgsm,8.0,8.0,zero,0.922400,0.313800,9224,3138,10000,wrapper,as_saved,,,322,cuda,4.797,ok,
models/cifar10/Linf/ResNet_LipReg.pt,lipreg,fgsm,4.0,4.0,zero,0.922400,0.511100,9224,5111,10000,wrapper,as_saved,,,322,cuda,4.783,ok,
