checkpoint,arch,attack,eps,alpha,mode,clean_accuracy,robust_accuracy,clean_correct,robust_correct,total,load_target,load_variant,missing_keys,unexpected_keys,state_dict_keys,device,seconds,status,error
models/cifar100/Linf/ResNet-AT.pt,resnet50,fgsm,8.0,8.0,zero,0.591100,0.227700,5911,2277,10000,wrapper,as_saved,,,322,cuda,4.552,ok,
models/cifar100/Linf/ResNet-AT.pt,resnet50,fgsm,4.0,4.0,zero,0.591100,0.369500,5911,3695,10000,wrapper,as_saved,,,322,cuda,4.451,ok,
models/cifar100/Linf/ResNet-AT_v2.pt,resnet50,fgsm,8.0,8.0,zero,0.637200,0.212600,6372,2126,10000,wrapper,as_saved,,,322,cuda,4.441,ok,
models/cifar100/Linf/ResNet-AT_v2.pt,resnet50,fgsm,4.0,4.0,zero,0.637200,0.349500,6372,3495,10000,wrapper,as_saved,,,322,cuda,4.482,ok,
models/cifar100/Linf/ResNet-TRADES.pt,resnet50,fgsm,8.0,8.0,zero,0.702400,0.073800,7024,738,10000,wrapper,as_saved,,,322,cuda,4.437,ok,
models/cifar100/Linf/ResNet-TRADES.pt,resnet50,fgsm,4.0,4.0,zero,0.702400,0.101600,7024,1016,10000,wrapper,as_saved,,,322,cuda,4.399,ok,
models/cifar100/Linf/ResNet.pt,resnet50,fgsm,8.0,8.0,zero,0.724800,0.130000,7248,1300,10000,wrapper,as_saved,,,322,cuda,4.444,ok,
models/cifar100/Linf/ResNet.pt,resnet50,fgsm,4.0,4.0,zero,0.724800,0.197900,7248,1979,10000,wrapper,as_saved,,,322,cuda,4.401,ok,
models/cifar100/Linf/ResNet_AA-AT.pt,resnet50_aa,fgsm,8.0,8.0,zero,0.614500,0.244200,6145,2442,10000,wrapper,as_saved,,,328,cuda,5.473,ok,
models/cifar100/Linf/ResNet_AA-AT.pt,resnet50_aa,fgsm,4.0,4.0,zero,0.614500,0.385400,6145,3854,10000,wrapper,as_saved,,,328,cuda,5.439,ok,
models/cifar100/Linf/ResNet_AA.pt,resnet50_aa,fgsm,8.0,8.0,zero,0.750200,0.124900,7502,1249,10000,wrapper,as_saved,,,328,cuda,5.445,ok,
models/cifar100/Linf/ResNet_AA.pt,resnet50_aa,fgsm,4.0,4.0,zero,0.750200,0.190400,7502,1904,10000,wrapper,as_saved,,,328,cuda,5.435,ok,
models/cifar100/Linf/ResNet_LipReg-AT.pt,lipreg,fgsm,8.0,8.0,zero,0.485900,0.121700,4859,1217,10000,wrapper,as_saved,,,322,cuda,4.778,ok,
models/cifar100/Linf/ResNet_LipReg-AT.pt,lipreg,fgsm,4.0,4.0,zero,0.485900,0.224100,4859,2241,10000,wrapper,as_saved,,,322,cuda,4.805,ok,
models/cifar100/Linf/ResNet_LipReg.pt,lipreg,fgsm,8.0,8.0,zero,0.638400,0.196700,6384,1967,10000,wrapper,as_saved,,,322,cuda,4.775,ok,
models/cifar100/Linf/ResNet_LipReg.pt,lipreg,fgsm,4.0,4.0,zero,0.638400,0.300700,6384,3007,10000,wrapper,as_saved,,,322,cuda,4.748,ok,
models/cifar100/Linf/ResNet_LipReg_AA-AT.pt,lipreg_aa,fgsm,8.0,8.0,zero,0.522900,0.153100,5229,1531,10000,wrapper,as_saved,,,328,cuda,5.713,ok,
models/cifar100/Linf/ResNet_LipReg_AA-AT.pt,lipreg_aa,fgsm,4.0,4.0,zero,0.522900,0.284300,5229,2843,10000,wrapper,as_saved,,,328,cuda,5.712,ok,
