label,origin_pred,pred_eps=8.0
49,68,68
33,33,80
72,93,93
51,51,91
71,71,23
92,6,7
15,8,8
14,21,21
23,23,71
0,53,53
71,46,59
75,75,91
81,81,90
69,69,47
40,40,67
43,43,96
92,92,18
97,3,3
70,70,92
53,53,62
70,70,61
49,49,75
75,75,86
29,37,84
21,21,81
16,16,10
39,39,39
8,8,78
8,7,7
70,40,40
20,20,20
61,10,16
41,41,41
93,30,30
56,56,58
73,38,38
58,58,41
11,35,35
25,25,67
37,37,90
63,3,31
24,24,9
49,95,14
73,30,30
56,56,56
22,22,22
41,41,92
58,58,25
75,75,21
17,57,57
4,4,35
6,6,55
9,9,18
57,57,53
2,64,64
32,32,35
71,71,49
52,52,96
42,42,43
69,69,27
77,99,78
27,27,77
15,19,31
65,33,66
7,45,45
35,98,46
43,43,42
82,82,54
63,63,51
92,18,18
66,66,8
90,89,89
67,61,61
91,91,78
32,76,76
32,32,11
82,82,62
10,10,16
77,77,7
22,61,61
71,71,18
78,44,77
54,54,41
6,6,18
29,29,50
89,89,13
78,99,99
33,42,42
11,46,5
67,73,30
22,52,52
18,18,76
27,85,26
21,21,46
13,13,81
21,21,6
50,80,14
75,75,7
37,37,90
35,89,89
26,26,79
83,57,1
47,47,17
95,86,18
43,43,29
69,69,33
76,76,99
17,17,12
57,57,83
59,59,47
25,12,12
20,20,45
27,27,44
0,0,32
9,9,65
71,60,38
8,8,48
43,43,64
57,57,46
56,56,79
85,90,90
10,2,2
19,19,8
92,92,70
33,33,89
20,20,84
21,3,3
50,42,42
70,70,84
46,46,97
11,94,16
16,16,66
1,1,81
74,74,70
33,3,34
91,91,58
60,60,67
64,97,97
52,52,96
23,23,27
4,4,63
11,11,2
52,52,47
37,31,3
24,7,7
95,95,12
25,89,89
39,39,63
51,51,91
58,58,19
58,41,41
77,77,16
18,37,37
59,60,60
45,45,20
66,66,27
58,58,13
20,20,39
24,7,77
4,42,42
36,36,50
8,8,25
87,87,55
10,10,11
30,50,50
47,47,45
54,54,54
99,99,97
51,51,26
83,61,61
9,16,16
37,45,45
4,96,96
83,16,16
95,95,75
83,83,26
32,32,18
73,73,18
18,18,1
40,40,67
39,33,33
64,66,66
22,22,48
80,36,36
28,16,16
28,28,38
40,16,34
95,95,18
98,98,47
83,83,70
12,12,81
24,7,7
45,30,30
13,13,81
94,94,52
24,24,10
58,58,90
63,42,42
7,7,18
87,87,33
6,6,33
78,78,61
68,68,59
60,60,71
6,6,45
23,23,33
44,79,79
31,31,42
80,80,72
93,93,47
73,73,3
98,98,80
49,49,17
90,33,33
97,97,64
59,59,33
2,53,53
67,69,69
16,86,86
81,81,37
94,94,87
27,68,68
76,23,23
77,77,40
12,12,3
18,27,95
0,0,83
76,76,25
79,79,48
71,71,12
89,89,59
57,57,53
47,59,59
