label,origin_pred,pred_eps=4.0
49,69,69
33,80,80
72,55,55
51,91,91
71,71,71
92,6,6
15,27,27
14,3,3
23,71,71
0,0,0
71,56,56
75,75,75
81,81,90
69,69,69
40,40,40
43,43,43
92,92,92
97,97,97
70,70,70
53,53,53
70,70,70
49,49,49
75,75,3
29,76,76
21,21,21
16,16,16
39,39,39
8,8,8
8,8,8
70,98,98
20,20,20
61,61,10
41,41,41
93,73,73
56,56,56
73,27,27
58,58,58
11,11,35
25,25,25
37,37,81
63,63,31
24,24,9
49,49,39
73,30,30
56,56,56
22,22,22
41,41,41
58,58,58
75,75,75
17,34,34
4,4,4
6,6,45
9,9,9
57,57,57
2,2,2
32,32,32
71,71,71
52,52,52
42,42,42
69,69,69
77,77,99
27,27,67
15,19,19
65,65,50
7,62,62
35,98,98
43,43,43
82,82,70
63,63,63
92,92,92
66,66,8
90,89,89
67,2,2
91,91,91
32,76,76
32,32,32
82,82,82
10,10,16
77,77,77
22,61,61
71,71,71
78,44,50
54,54,54
6,6,6
29,29,1
89,89,13
78,99,99
33,42,42
11,46,46
67,30,30
22,22,22
18,18,18
27,78,78
21,21,21
13,13,13
21,21,74
50,32,32
75,75,18
37,68,68
35,98,98
26,26,79
83,53,53
47,47,17
95,86,86
43,43,43
69,69,69
76,76,76
17,17,17
57,57,57
59,59,59
25,25,5
20,20,20
27,27,27
0,0,57
9,9,9
71,71,71
8,48,48
43,43,43
57,57,57
56,56,56
85,85,90
10,10,11
19,19,19
92,92,62
33,33,33
20,20,94
21,21,3
50,27,27
70,70,70
46,35,35
11,86,86
16,16,16
1,1,73
74,74,74
33,34,34
91,91,91
60,60,60
64,15,15
52,52,52
23,23,23
4,4,55
11,11,11
52,52,52
37,43,43
24,24,7
95,95,95
25,25,20
39,39,39
51,51,51
58,58,58
58,58,58
77,77,51
18,37,37
59,49,49
45,45,78
66,66,72
58,58,58
20,20,20
24,7,7
4,88,88
36,36,36
8,8,8
87,87,64
10,10,10
30,55,55
47,47,59
54,54,54
99,99,99
51,51,51
83,45,45
9,9,86
37,45,45
4,45,45
83,21,21
95,95,95
83,83,45
32,95,95
73,73,30
18,18,18
40,40,40
39,39,21
64,66,66
22,22,22
80,65,65
28,16,16
28,28,28
40,19,19
95,95,95
98,98,98
83,83,83
12,12,12
24,7,7
45,78,78
13,13,13
94,94,94
24,24,24
58,58,58
63,63,63
7,7,7
87,13,13
6,6,6
78,78,78
68,68,68
60,60,60
6,6,6
23,23,23
44,44,44
31,31,31
80,80,80
93,14,14
73,95,95
98,11,11
49,17,17
90,90,65
97,97,97
59,47,47
2,53,53
67,30,30
16,83,83
81,81,37
94,94,94
27,95,95
76,23,23
77,77,77
12,12,12
18,95,34
0,0,0
76,39,39
79,79,79
71,71,60
89,89,89
57,57,57
47,59,59
24,24,24
65,65,64
0,70,70
32,32,65
36,36,43
82,82,82
31,31,31
23,23,23
24,24,24
34,34,34
21,21,86
11,11,32
53,53,53
80,80,80
44,44,91
4,4,66
39,39,39
91,91,91
16,16,16
36,36,72
68,68,68
50,50,74
97,66,66
58,5,5
31,75,75
6,6,80
42,42,42
80,65,65
76,76,76
89,58,58
55,30,30
19,19,19
91,91,91
70,1,1
1,1,91
6,44,44
62,34,34
99,99,99
51,51,51
96,96,59
83,0,0
42,42,75
18,18,18
67,67,67
66,80,80
40,40,40
62,62,62
78,78,44
84,84,84
28,28,84
89,89,89
30,30,95
66,66,29
18,80,80
38,19,19
42,42,43
92,92,92
27,27,80
11,38,38
86,86,39
44,27,27
96,96,96
12,12,12
16,16,16
67,74,74
43,80,80
89,89,48
96,52,52
12,12,12
40,40,40
7,6,6
86,13,13
77,44,44
76,76,76
31,31,31
18,40,40
28,28,28
19,43,43
18,18,18
41,41,41
42,42,50
43,80,80
31,29,29
93,74,74
15,15,64
10,61,61
8,8,8
37,17,17
89,89,17
32,2,2
67,67,67
12,12,12
2,2,2
19,31,31
91,91,91
94,94,94
7,79,79
71,71,71
36,34,1
61,61,61
62,62,62
5,36,36
60,60,71
45,67,67
91,73,73
34,34,80
95,67,67
9,22,22
40,54,54
68,68,68
62,62,62
99,99,99
66,66,66
46,21,21
7,7,7
10,10,10
10,74,50
68,68,68
34,43,43
37,33,33
58,58,58
48,48,48
40,40,40
96,96,31
14,14,42
11,35,35
66,64,46
64,64,64
39,39,39
33,71,71
94,94,94
63,63,63
10,61,61
89,89,26
92,54,54
90,90,8
65,38,38
90,90,89
33,33,33
28,28,28
29,29,29
87,5,5
86,86,86
7,7,7
0,0,0
94,94,94
11,6,6
26,26,26
6,6,6
41,41,41
21,80,80
69,69,69
27,50,50
29,29,29
67,67,72
85,85,85
65,65,65
40,40,40
57,57,50
72,86,86
30,30,30
74,50,50
27,27,42
3,4,4
49,49,49
52,52,52
95,30,30
40,40,40
93,63,63
77,44,44
91,69,69
6,6,6
57,57,77
72,72,55
16,16,16
98,98,98
89,48,48
40,40,40
96,47,47
71,71,71
3,3,34
2,2,36
66,66,66
27,65,65
8,89,89
53,53,53
33,88,38
55,21,21
81,58,58
88,88,88
96,96,88
68,71,71
42,42,42
77,77,77
10,40,40
27,27,55
32,32,46
79,55,55
98,98,98
18,79,79
51,51,51
2,2,11
19,51,51
31,31,31
67,67,95
36,36,36
10,10,93
16,16,16
5,5,5
81,81,81
85,85,85
26,6,6
85,85,85
65,63,63
22,22,26
55,55,55
85,58,13
22,24,24
22,47,47
10,10,10
18,18,18
98,36,36
9,9,9
26,29,29
27,27,51
7,7,27
5,5,94
58,13,13
87,87,87
76,76,76
2,11,11
54,14,14
38,27,27
33,65,65
17,17,17
6,6,6
