label,origin_pred,pred_eps=8.0
49,32,32
33,80,80
72,55,55
51,51,30
71,71,23
92,4,4
15,89,89
14,75,75
23,23,71
0,0,57
71,12,12
75,75,34
81,81,90
69,69,23
40,40,40
43,43,40
92,92,25
97,64,64
70,70,92
53,53,70
70,70,36
49,49,66
75,75,3
29,59,59
21,21,46
16,16,0
39,39,25
8,8,16
8,84,84
70,11,11
20,20,20
61,61,1
41,41,45
93,95,95
56,56,29
73,55,55
58,58,45
11,35,35
25,25,5
37,37,81
63,63,31
24,24,9
49,32,32
73,30,30
56,56,29
22,22,16
41,41,53
58,58,84
75,75,51
17,69,69
4,4,2
6,45,45
9,9,16
57,57,35
2,98,98
32,32,65
71,71,30
52,52,47
42,42,11
69,69,30
77,77,78
27,67,67
15,19,19
65,65,44
7,45,45
35,98,98
43,43,97
82,62,62
63,63,66
92,92,31
66,8,8
90,89,89
67,65,65
91,91,18
32,67,67
32,32,11
82,82,6
10,10,16
77,77,7
22,61,61
71,49,49
78,84,84
54,54,62
6,7,7
29,29,73
89,89,37
78,99,99
33,42,42
11,46,46
67,30,30
22,22,10
18,18,9
27,55,55
21,21,2
13,13,90
21,55,55
50,67,67
75,75,18
37,37,68
35,45,45
26,45,45
83,53,53
47,47,43
95,95,57
43,43,63
69,69,69
76,76,39
17,17,12
57,57,62
59,59,47
25,25,29
20,20,77
27,27,45
0,0,26
9,9,99
71,71,60
8,8,48
43,43,97
57,57,53
56,56,79
85,85,90
10,84,84
19,19,15
92,92,62
33,33,59
20,84,84
21,3,3
50,80,80
70,70,51
46,35,35
11,84,84
16,16,66
1,32,32
74,74,21
33,3,3
91,91,65
60,60,17
64,65,65
52,52,47
23,23,71
4,50,50
11,11,2
52,52,47
37,29,29
24,24,7
95,95,30
25,89,89
39,39,78
51,51,85
58,58,81
58,58,14
77,14,14
18,37,37
59,49,49
45,80,80
66,66,36
58,58,13
20,20,5
24,55,55
4,42,42
36,36,34
8,33,33
87,72,72
10,10,40
30,73,73
47,96,96
54,54,54
99,99,64
51,51,64
83,83,45
9,3,3
37,25,25
4,27,27
83,16,16
95,95,15
83,45,45
32,55,55
73,30,30
18,18,6
40,40,51
39,80,80
64,64,90
22,22,8
80,80,65
28,78,78
28,28,41
40,84,84
95,95,27
98,98,26
83,83,70
12,12,13
24,7,7
45,32,32
13,13,81
94,94,28
24,24,61
58,90,90
63,63,8
7,7,24
87,87,37
6,6,63
78,78,91
68,68,59
60,60,98
6,6,63
23,23,25
44,44,26
31,31,19
80,21,21
93,77,77
73,72,72
98,11,11
49,49,17
90,81,81
97,97,80
59,56,56
2,53,53
67,67,95
16,83,83
81,81,97
94,94,16
27,12,12
76,44,44
77,77,87
12,12,68
18,44,44
0,0,83
76,39,39
79,3,3
71,71,12
89,89,76
57,57,0
47,59,59
24,24,24
65,65,36
0,41,41
32,32,38
