label,origin_pred,pred_eps=4.0
49,68,68
33,96,96
72,55,55
51,51,91
71,71,71
92,6,6
15,33,33
14,14,3
23,23,60
0,57,57
71,86,86
75,27,27
81,81,58
69,69,69
40,40,40
43,50,50
92,92,92
97,97,97
70,70,92
53,53,53
70,70,70
49,49,49
75,75,75
29,76,76
21,21,87
16,16,16
39,39,39
8,8,8
8,8,8
70,29,29
20,20,20
61,10,10
41,41,41
93,73,73
56,56,56
73,27,27
58,58,58
11,35,35
25,25,25
37,81,81
63,63,31
24,32,32
49,5,5
73,30,30
56,56,56
22,22,22
41,48,48
58,58,58
75,75,21
17,76,76
4,4,4
6,6,45
9,9,9
57,57,57
2,98,98
32,32,19
71,71,71
52,52,96
42,42,42
69,69,69
77,78,78
27,27,27
15,31,31
65,44,44
7,45,45
35,2,2
43,43,74
82,82,54
63,63,63
92,88,88
66,48,48
90,81,81
67,2,2
91,91,91
32,76,76
32,32,32
82,82,82
10,10,10
77,77,7
22,61,61
71,71,49
78,25,25
54,54,54
6,6,7
29,29,29
89,89,89
78,99,99
33,31,31
11,5,5
67,99,99
22,10,10
18,18,18
27,77,77
21,21,21
13,13,13
21,21,21
50,97,97
75,93,93
37,68,68
35,11,11
26,26,26
83,57,57
47,47,52
95,86,86
43,43,43
69,69,69
76,76,76
17,17,49
57,57,57
59,59,47
25,25,25
20,20,20
27,27,27
0,0,0
9,57,57
71,71,71
8,8,8
43,43,34
57,57,57
56,56,56
85,85,90
10,35,35
19,19,38
92,70,70
33,33,89
20,20,84
21,21,3
50,38,38
70,70,70
46,35,35
11,11,20
16,16,16
1,1,1
74,74,74
33,65,65
91,91,91
60,60,60
64,34,34
52,52,52
23,23,23
4,4,4
11,11,11
52,52,52
37,63,63
24,7,7
95,95,95
25,58,58
39,39,39
51,51,91
58,58,85
58,48,48
77,77,61
18,66,66
59,49,49
45,45,45
66,66,66
58,58,8
20,20,20
24,21,21
4,42,42
36,36,36
8,8,87
87,87,55
10,10,22
30,50,50
47,52,52
54,54,54
99,99,99
51,51,51
83,45,45
9,16,16
37,45,45
4,74,74
83,16,16
95,95,95
83,53,53
32,95,95
73,73,73
18,29,29
40,40,40
39,33,33
64,9,9
22,22,22
80,65,65
28,16,16
28,28,40
40,84,84
95,95,95
98,98,98
83,83,83
12,12,12
24,7,7
45,45,83
13,13,13
94,94,94
24,24,26
58,58,90
63,63,44
7,7,18
87,87,5
6,50,50
78,78,78
68,68,90
60,60,60
6,6,4
23,23,23
44,79,79
31,31,3
80,63,63
93,93,47
73,93,93
98,11,11
49,49,17
90,44,44
97,97,97
59,33,33
2,2,53
67,30,30
16,83,83
81,81,90
94,94,94
27,72,72
76,39,39
77,77,77
12,12,12
18,72,72
0,0,83
76,76,39
79,79,21
71,71,71
89,89,89
57,57,0
47,52,52
24,24,24
65,65,36
0,84,84
32,32,45
36,36,36
82,82,82
31,59,59
23,23,23
24,24,24
34,34,1
21,21,99
11,11,11
53,53,53
80,80,38
44,44,27
4,65,65
39,39,22
91,91,91
16,16,16
36,21,21
68,68,34
50,57,57
97,64,64
58,73,73
31,75,75
6,4,4
42,42,34
80,80,38
76,76,76
89,58,58
55,31,31
19,38,38
91,91,91
70,70,1
1,1,1
6,44,44
62,82,82
99,99,99
51,51,51
96,59,59
83,0,0
42,41,41
18,91,91
67,67,67
66,88,88
40,40,40
62,62,62
78,44,44
84,84,84
28,28,46
89,89,58
30,73,73
66,26,26
18,18,6
38,19,19
42,88,88
92,92,92
27,27,91
11,38,38
86,86,87
44,27,27
96,96,96
12,12,12
16,10,10
67,10,10
43,43,96
89,89,45
96,52,52
12,12,76
40,40,51
7,24,24
86,49,49
77,44,44
76,76,76
31,19,19
18,46,46
28,28,28
19,19,19
18,14,14
41,41,41
42,47,47
43,77,77
31,15,15
93,67,67
15,12,12
10,6,6
8,8,8
37,17,17
89,15,15
32,4,4
67,73,73
12,12,12
2,2,2
19,19,15
91,91,91
94,94,94
7,85,85
71,71,71
36,36,57
61,61,61
62,62,62
5,36,36
60,60,60
45,67,67
91,91,73
34,80,80
95,93,93
9,22,22
40,92,92
68,68,68
62,62,62
99,99,99
66,66,66
46,21,21
7,7,7
10,96,96
10,4,4
68,68,68
34,65,65
37,49,49
58,58,13
48,48,89
40,40,40
96,96,63
14,14,14
11,2,2
66,2,2
64,64,64
39,39,39
33,71,71
94,94,94
63,63,63
10,61,61
89,26,26
92,54,54
90,90,41
65,38,38
90,90,58
33,33,33
28,28,40
29,29,29
87,84,84
86,86,54
7,7,24
0,0,0
94,94,94
11,45,45
26,26,7
6,6,6
41,41,41
21,63,63
69,69,69
27,4,4
29,29,29
67,73,73
85,85,85
65,65,65
40,72,72
57,57,57
72,32,32
30,30,30
74,64,64
27,27,63
3,4,4
49,49,68
52,52,52
95,30,30
40,40,40
93,96,96
77,35,35
91,12,12
6,6,6
57,57,77
72,55,55
16,16,16
98,35,35
89,48,48
40,40,40
96,96,34
71,71,49
3,85,85
2,3,3
66,66,66
27,34,34
8,89,89
53,53,92
33,88,88
55,80,80
81,15,15
88,88,80
96,96,47
68,23,23
42,42,88
77,77,0
10,40,40
27,27,27
32,46,46
79,67,67
98,98,98
18,40,40
51,51,51
2,2,89
19,51,51
31,29,29
67,95,95
36,36,64
10,1,1
16,98,98
5,5,25
81,81,93
85,85,85
26,14,14
85,85,85
65,34,34
22,7,7
55,4,4
85,13,13
22,95,95
22,9,9
10,22,22
18,18,83
98,35,35
9,9,9
26,29,29
27,19,19
7,7,27
5,5,94
58,58,8
87,87,87
76,69,69
2,87,87
54,14,14
38,27,27
33,65,65
17,17,90
6,6,6
0,0,0
79,6,6
97,97,97
14,80,80
14,14,75
73,73,73
79,6,6
8,27,27
42,42,74
4,72,72
25,25,25
37,85,85
75,75,75
74,63,63
41,41,6
0,0,0
99,67,67
79,50,50
87,87,87
67,69,69
72,96,96
38,38,55
25,57,57
49,49,49
3,3,4
74,44,44
69,27,27
36,57,57
77,55,55
89,89,15
71,71,71
31,78,78
50,50,61
90,90,90
11,9,9
2,35,35
41,41,41
38,38,65
58,58,58
47,47,47
93,93,93
68,68,68
11,11,11
35,2,2
67,30,30
54,54,54
53,53,53
30,73,73
36,36,44
83,83,70
54,54,54
64,64,65
46,85,85
45,44,44
98,35,35
62,62,62
46,46,11
95,95,95
88,88,57
37,38,38
18,18,44
29,15,15
63,63,63
8,8,78
33,9,9
35,35,46
6,80,80
76,76,59
19,51,51
99,99,99
53,72,72
15,19,19
57,77,77
2,2,2
27,44,44
27,69,69
93,30,30
81,81,37
54,54,19
71,71,60
26,7,7
25,94,94
35,35,35
30,69,69
72,72,38
8,48,48
42,42,42
62,62,70
56,56,56
78,80,80
47,47,88
73,91,91
43,43,4
20,20,20
83,45,45
63,4,4
49,29,29
28,10,10
26,26,26
45,45,45
36,55,55
36,36,83
68,68,68
1,48,48
2,98,98
99,75,75
9,76,76
65,51,51
38,38,38
58,81,81
96,96,96
38,4,4
87,87,87
82,82,82
22,22,10
83,0,0
41,41,41
7,54,54
12,89,89
10,10,10
35,55,55
44,88,88
81,12,12
91,91,91
56,56,56
9,57,57
24,85,85
3,6,6
30,73,73
1,1,1
39,39,39
98,97,97
72,77,77
83,83,83
80,86,86
43,43,43
84,84,2
66,66,75
4,4,88
64,80,80
77,77,34
98,26,26
82,82,82
81,81,13
20,20,9
0,0,0
48,48,48
46,35,35
33,56,56
22,61,61
13,13,13
17,49,49
39,39,39
76,76,76
0,0,0
17,17,17
64,64,77
48,48,48
90,90,51
93,93,93
82,82,82
75,75,64
96,50,50
97,97,97
3,3,80
83,70,70
60,60,60
61,61,61
32,32,32
26,26,26
84,84,5
41,8,8
12,29,29
85,85,85
12,76,76
8,8,42
82,62,62
72,25,25
94,94,94
7,67,67
22,87,87
15,15,15
66,66,13
89,89,22
97,64,64
19,34,34
0,0,55
19,28,28
5,5,87
56,51,51
36,36,84
45,45,45
1,1,1
94,94,94
66,80,80
86,32,32
82,82,82
17,17,85
64,64,3
99,99,99
34,14,14
30,30,66
73,67,67
83,83,83
6,3,3
1,57,57
28,28,28
77,38,38
91,91,91
74,4,4
68,68,68
14,14,14
14,14,14
1,91,91
92,92,92
97,97,97
45,45,45
7,7,19
21,21,21
37,49,49
32,32,74
73,80,80
88,88,78
86,86,86
92,82,82
14,14,14
86,22,22
74,4,4
25,25,25
93,93,67
78,78,78
77,77,50
88,34,34
42,43,43
10,10,51
65,79,79
26,26,57
31,31,15
85,85,27
78,78,8
29,69,69
32,18,18
81,12,12
97,34,34
1,1,92
82,82,82
0,0,53
21,3,3
15,31,31
56,18,18
57,57,77
97,64,64
76,76,76
60,60,60
87,25,25
46,46,11
1,73,73
61,61,61
75,75,75
62,62,62
21,21,19
61,61,61
78,78,82
90,90,55
68,68,58
94,94,94
88,88,88
95,69,69
3,19,19
83,83,83
32,32,29
93,2,2
77,77,32
38,38,31
63,36,36
61,10,10
41,41,41
88,4,4
83,83,83
35,35,98
82,82,82
50,50,66
15,15,15
48,48,45
25,70,70
4,4,63
71,71,71
8,18,18
98,78,78
67,67,51
7,7,24
85,85,85
25,25,25
96,96,33
60,60,23
55,27,27
80,80,80
13,13,82
90,90,90
54,54,54
15,17,17
76,76,76
39,39,39
95,95,95
24,24,24
7,7,7
64,64,64
70,70,70
88,42,42
81,81,37
0,0,0
12,12,12
64,64,3
31,6,6
79,79,8
86,86,86
60,60,60
22,22,22
38,72,72
82,82,82
14,14,89
48,48,48
33,3,3
55,55,55
53,53,99
40,13,13
1,1,93
58,58,85
94,94,89
70,70,92
29,93,93
86,1,1
23,10,10
46,21,21
58,13,13
99,78,78
78,78,78
10,22,22
53,53,53
37,59,59
97,97,33
65,57,57
15,15,49
77,45,45
52,52,52
63,63,4
32,67,67
6,7,7
36,36,36
6,39,39
7,7,7
36,89,89
74,4,4
13,37,37
22,22,22
32,72,72
54,54,54
62,92,92
84,22,22
57,57,72
25,80,80
11,11,11
62,62,82
85,33,33
31,19,19
26,26,0
16,76,76
96,49,49
71,71,23
90,90,17
39,39,8
20,5,5
47,47,47
35,35,11
19,19,19
52,52,85
66,31,31
32,32,32
53,72,72
53,10,10
21,21,21
98,98,98
6,6,6
88,88,89
71,71,23
45,54,54
98,70,70
55,55,55
99,20,20
24,24,74
93,26,26
67,64,64
33,60,60
16,16,16
33,33,56
9,9,9
10,84,84
46,94,94
68,68,68
24,24,24
96,53,53
22,8,8
40,92,92
63,63,63
53,53,53
10,14,14
14,34,34
41,14,14
77,4,4
54,54,70
84,94,94
20,20,20
29,29,43
76,93,93
36,51,51
1,92,92
26,26,26
99,67,67
2,2,2
96,96,83
69,69,69
36,5,5
18,18,18
90,81,81
66,66,66
52,52,47
37,13,13
99,99,99
97,42,42
12,12,90
55,72,72
15,15,44
85,85,11
15,19,19
16,86,86
33,96,96
99,99,99
80,76,76
28,28,28
69,99,99
51,51,42
72,44,44
39,25,25
8,8,8
56,56,56
59,52,52
15,51,51
21,98,98
77,77,77
45,45,7
21,21,21
80,44,44
89,89,17
37,37,37
48,48,48
47,52,52
56,47,47
65,65,7
96,52,52
14,14,14
52,3,3
2,11,11
60,60,60
9,9,9
68,68,68
22,22,10
23,23,23
44,21,21
19,32,32
54,54,62
97,97,97
23,71,71
54,54,54
62,62,70
56,56,56
23,71,71
42,42,42
81,81,81
66,14,14
87,40,40
47,47,59
47,52,52
45,23,23
42,42,42
51,51,51
10,5,5
35,35,27
68,71,71
13,86,86
55,30,30
34,34,88
74,74,38
47,47,47
40,40,45
51,51,35
6,6,56
3,3,64
76,76,76
52,52,52
53,53,62
34,34,34
60,60,60
63,74,74
28,10,10
24,24,24
36,25,25
69,69,69
82,82,89
90,90,90
70,70,70
75,34,34
77,77,35
43,34,34
43,43,43
78,8,8
81,81,13
80,8,8
66,19,19
35,35,10
84,84,5
