label,origin_pred,pred_eps=4.0
49,68,68
33,33,9
72,93,93
51,51,91
71,71,23
92,79,79
15,89,89
14,7,7
23,23,23
0,0,0
71,71,12
75,75,93
81,81,90
69,69,76
40,40,40
43,43,43
92,92,18
97,97,97
70,70,70
53,53,53
70,70,70
49,49,49
75,75,75
29,96,96
21,21,46
16,16,16
39,39,39
8,8,8
8,8,16
70,40,40
20,20,20
61,61,86
41,41,41
93,73,73
56,56,45
73,73,64
58,58,58
11,35,35
25,25,25
37,37,81
63,63,31
24,24,24
49,90,95
73,30,30
56,56,56
22,22,22
41,41,41
58,58,58
75,75,51
17,57,57
4,4,35
6,6,42
9,9,9
57,57,53
2,2,11
32,32,11
71,71,60
52,52,52
42,42,42
69,69,95
77,77,99
27,27,99
15,15,38
65,33,33
7,62,62
35,98,98
43,43,15
82,82,62
63,63,63
92,92,54
66,66,8
90,90,89
67,67,76
91,91,91
32,57,76
32,32,11
82,82,82
10,10,16
77,77,77
22,22,57
71,71,73
78,78,78
54,54,54
6,6,79
29,44,79
89,89,13
78,99,99
33,33,63
11,35,35
67,67,73
22,22,61
18,18,18
27,27,4
21,21,21
13,13,90
21,21,55
50,50,93
75,79,79
37,37,17
35,89,89
26,26,79
83,53,53
47,47,96
95,86,86
43,43,88
69,69,69
76,76,76
17,17,37
57,57,0
59,59,59
25,25,25
20,20,20
27,27,27
0,83,78
9,9,9
71,71,24
8,8,48
43,43,43
57,57,1
56,56,56
85,85,85
10,46,46
19,19,38
92,92,62
33,33,96
20,20,84
21,21,3
50,27,27
70,70,70
46,46,35
11,40,16
16,16,86
1,1,1
74,74,74
33,74,74
91,91,32
60,60,60
64,15,15
52,52,52
23,23,23
4,4,74
11,11,35
52,52,52
37,58,27
24,24,7
95,95,30
25,89,37
39,39,39
51,51,51
58,58,18
58,58,58
77,16,16
18,99,99
59,60,60
45,45,18
66,66,72
58,58,13
20,20,20
24,79,79
4,74,74
36,36,50
8,8,85
87,87,76
10,10,10
30,73,66
47,47,59
54,54,54
99,99,38
51,51,92
83,83,45
9,9,3
37,45,45
4,27,27
83,55,55
95,95,95
83,83,98
32,18,18
73,73,95
18,18,18
40,40,40
39,39,8
64,66,66
22,22,22
80,80,65
28,16,16
28,28,10
40,11,33
95,95,95
98,98,35
83,83,45
12,12,12
24,7,7
45,45,21
13,13,81
94,94,16
24,24,24
58,58,58
63,63,42
7,7,18
87,87,94
6,6,6
78,78,78
68,68,68
60,60,60
6,6,79
23,23,23
44,44,63
31,31,19
80,80,63
93,93,66
73,93,93
98,11,11
49,49,33
90,89,89
97,97,97
59,59,33
2,2,53
67,67,30
16,9,9
81,81,33
94,94,94
27,12,12
76,99,99
77,77,77
12,12,3
18,6,6
0,0,83
76,76,39
79,79,79
71,12,12
89,89,17
57,57,57
47,59,59
24,24,24
65,65,64
0,45,45
32,32,32
36,36,34
82,82,82
31,31,56
23,23,23
24,24,24
34,34,34
21,21,55
11,11,35
53,53,53
80,80,38
44,44,93
4,4,74
39,39,23
91,91,91
16,16,16
36,36,50
68,68,68
50,50,67
97,66,66
58,58,42
31,31,75
6,6,6
42,42,42
80,80,65
76,76,76
89,89,58
55,55,30
19,19,75
91,91,73
70,82,82
1,1,1
6,6,44
62,62,70
99,99,61
51,51,51
96,96,52
83,0,0
42,42,26
18,18,1
67,67,72
66,80,80
40,40,40
62,62,62
78,78,44
84,84,84
28,28,0
89,89,89
30,30,95
66,66,46
18,6,6
38,38,51
42,42,43
92,92,0
27,91,91
11,44,44
86,86,39
44,27,27
96,96,37
12,12,12
16,87,87
67,67,74
43,88,88
89,89,48
96,96,33
12,12,86
40,40,84
7,7,24
86,46,95
77,38,38
76,76,76
31,31,3
18,18,59
28,28,28
19,19,79
18,18,44
41,41,41
42,42,51
43,15,15
31,15,15
93,67,67
15,15,3
10,61,61
8,8,8
37,17,17
89,89,17
32,64,64
67,67,32
12,12,13
2,2,2
19,19,31
91,91,91
94,94,76
7,14,14
71,71,39
36,36,36
61,61,61
62,62,83
5,5,58
60,60,60
45,67,67
91,91,72
34,34,97
95,73,67
9,9,28
40,1,36
68,68,76
62,62,62
99,99,39
66,66,97
46,21,21
7,7,24
10,10,73
10,22,15
68,68,37
34,80,80
37,81,81
58,58,13
48,48,48
40,40,40
96,96,63
14,14,88
11,35,35
66,66,26
64,64,50
39,39,51
33,33,12
94,94,84
63,63,63
10,61,61
89,89,26
92,54,54
90,90,19
65,4,4
90,90,87
33,33,33
28,28,96
29,29,38
87,5,5
86,86,39
7,7,24
0,0,0
94,94,94
11,11,46
26,26,26
6,6,18
41,41,41
21,55,55
69,69,69
27,93,93
29,29,99
67,67,72
85,85,37
65,65,65
40,40,28
57,57,57
72,72,51
30,30,91
74,64,64
27,27,42
3,4,4
49,49,33
52,52,47
95,95,76
40,40,40
93,93,72
77,74,74
91,69,69
6,6,6
57,57,77
72,72,55
16,16,16
98,98,95
89,89,48
40,40,51
96,47,47
71,71,73
3,3,72
2,46,46
66,66,42
27,5,5
8,8,10
53,53,53
33,96,96
55,21,80
81,58,58
88,88,42
96,96,85
68,68,60
42,42,42
77,77,55
10,10,28
27,3,3
32,32,15
79,80,63
98,98,11
18,69,73
51,51,84
2,11,11
19,19,51
31,31,15
67,67,95
36,36,64
10,10,51
16,16,22
5,5,5
81,81,81
85,85,90
26,33,33
85,85,37
65,65,38
22,22,61
55,4,4
85,85,87
22,22,10
22,5,5
10,78,78
18,83,83
98,36,36
9,9,22
26,29,29
27,27,34
7,24,24
5,5,84
58,58,25
87,87,39
76,76,76
2,11,11
54,70,70
38,38,44
33,33,9
17,17,69
6,6,6
0,0,0
79,79,77
97,97,97
14,14,80
14,14,75
73,73,32
79,79,79
8,44,44
42,42,74
4,15,15
25,25,5
37,37,85
75,75,75
74,74,55
41,7,7
0,0,0
99,73,73
79,79,53
87,87,87
67,67,93
72,72,63
38,38,34
25,25,94
49,49,96
3,21,21
74,74,63
69,91,91
36,57,77
77,77,14
89,89,89
71,71,40
31,31,15
50,28,28
90,90,90
11,11,11
2,22,22
41,41,41
38,38,63
58,58,58
47,47,47
93,93,93
68,68,12
11,11,11
35,36,36
67,67,77
54,54,62
53,53,53
30,73,73
36,36,36
83,45,45
54,54,54
64,64,4
46,46,32
45,48,44
98,98,72
62,62,62
46,46,35
95,95,95
88,42,42
37,17,17
18,44,44
29,89,89
63,63,63
8,8,8
33,76,76
35,35,46
6,18,18
76,76,17
19,19,3
99,99,78
53,70,70
15,15,38
57,54,54
2,2,2
27,27,42
27,73,73
93,30,30
81,81,81
54,54,84
71,71,60
26,14,14
25,33,33
35,35,2
30,95,95
72,72,55
8,99,99
42,42,42
62,62,47
56,56,82
78,55,55
47,47,47
73,73,27
43,43,55
20,20,20
83,45,45
63,3,3
49,49,17
28,10,10
26,26,45
45,45,45
36,55,10
36,36,63
68,68,56
1,48,48
2,98,98
99,26,26
9,17,17
65,26,26
38,38,34
58,58,58
96,96,47
38,77,77
87,87,86
82,82,82
22,22,61
83,83,0
41,41,41
7,54,54
12,90,33
10,10,10
35,35,35
44,44,42
81,12,89
91,91,91
56,56,59
9,9,9
24,7,7
3,6,6
30,73,73
1,92,92
39,39,86
98,35,35
72,55,55
83,83,18
80,33,33
43,43,36
84,84,45
66,66,75
4,4,72
64,64,50
77,77,79
98,98,11
82,82,14
81,81,13
20,20,41
0,0,1
48,48,48
46,35,98
33,33,74
22,22,61
13,13,58
17,49,49
39,39,39
76,76,76
0,0,51
17,17,76
64,64,64
48,48,48
90,1,1
93,93,93
82,82,82
75,75,75
96,96,84
97,97,4
3,3,65
83,92,54
60,60,60
61,61,61
32,32,15
26,26,32
84,84,25
41,89,89
12,12,12
85,85,90
12,86,86
8,8,8
82,82,62
72,55,55
94,94,94
7,77,77
22,22,22
15,15,15
66,66,97
89,89,25
97,85,85
19,19,19
0,0,77
19,15,15
5,5,25
56,56,51
36,36,36
45,45,45
1,1,1
94,94,76
66,56,56
86,87,87
82,82,82
17,17,17
64,64,4
99,22,22
34,34,31
30,30,51
73,73,30
83,83,10
6,77,77
1,1,91
28,28,28
77,77,77
91,91,10
74,88,88
68,68,18
14,14,18
14,14,14
1,1,91
92,92,51
97,97,97
45,45,45
7,7,62
21,21,21
37,37,49
32,32,32
73,77,77
88,88,88
86,86,86
92,92,6
14,27,27
86,10,10
74,74,4
25,25,25
93,93,67
78,78,93
77,77,74
88,88,15
42,4,4
10,10,25
65,65,80
26,26,42
31,31,38
85,85,12
78,45,27
29,59,59
32,4,4
81,81,13
97,97,21
1,1,92
82,82,82
0,57,57
21,4,4
15,31,31
56,59,59
57,57,57
97,64,64
76,76,76
60,60,60
87,87,25
46,11,11
1,1,73
61,61,10
75,75,3
62,62,62
21,21,21
61,61,10
78,78,6
90,90,18
68,68,13
94,94,94
88,88,88
95,69,80
3,4,4
83,83,53
32,32,77
93,93,63
77,77,32
38,38,42
63,63,61
61,61,10
41,41,41
88,88,88
83,83,10
35,2,2
82,82,82
50,50,74
15,15,40
48,48,41
25,25,62
4,63,63
71,71,23
8,8,79
98,98,98
67,67,32
7,7,24
85,85,37
25,25,94
96,96,33
60,60,76
55,80,80
80,80,80
13,1,1
90,90,90
54,54,54
15,15,17
76,76,76
39,39,51
95,95,95
24,24,24
7,7,44
64,64,64
70,70,70
88,42,42
81,81,90
0,0,0
12,12,12
64,64,3
31,31,15
79,79,41
86,86,25
60,60,60
22,22,10
38,80,80
82,82,82
14,14,45
48,48,48
33,33,66
55,55,55
53,53,82
40,87,84
1,1,93
58,58,13
94,94,94
70,92,92
29,29,64
86,86,40
23,23,23
46,46,98
58,58,58
99,99,99
78,78,42
10,10,63
53,53,53
37,37,90
97,97,34
65,65,77
15,15,29
77,4,4
52,52,59
63,63,63
32,32,67
6,6,6
36,36,50
