label,origin_pred,pred_eps=4.0
49,68,81
33,33,84
72,93,93
51,51,91
71,71,23
92,79,79
15,89,89
14,7,7
23,23,73
0,0,77
71,71,12
75,75,93
81,81,90
69,69,76
40,40,28
43,43,38
92,92,18
97,97,66
70,70,70
53,53,61
70,70,92
49,49,34
75,75,15
29,96,96
21,21,46
16,16,83
39,39,39
8,8,79
8,8,16
70,40,44
20,20,84
61,61,10
41,41,89
93,73,73
56,56,45
73,73,38
58,58,41
11,35,35
25,25,84
37,37,81
63,63,3
24,24,18
49,90,95
73,30,30
56,56,59
22,22,61
41,41,89
58,58,89
75,75,51
17,57,57
4,4,35
6,6,45
9,9,16
57,57,14
2,2,74
32,32,11
71,71,60
52,52,96
42,42,88
69,69,95
77,77,99
27,27,32
15,15,38
65,33,33
7,62,62
35,98,98
43,43,42
82,82,62
63,63,64
92,92,54
66,66,8
90,90,81
67,67,42
91,91,1
32,57,76
32,32,90
82,82,92
10,10,16
77,77,7
22,22,1
71,71,73
78,78,61
54,54,70
6,6,79
29,44,79
89,89,13
78,99,99
33,33,63
11,35,35
67,67,73
22,22,61
18,18,59
27,27,4
21,21,43
13,13,90
21,21,55
50,50,66
75,79,79
37,37,17
35,89,89
26,26,79
83,53,53
47,47,17
95,86,86
43,43,88
69,69,76
76,76,16
17,17,37
57,57,0
59,59,76
25,25,5
20,20,25
27,27,44
0,83,57
9,9,57
71,71,60
8,8,48
43,43,42
57,57,51
56,56,79
85,85,90
10,46,46
19,19,38
92,92,62
33,33,96
20,20,84
21,21,90
50,27,27
70,70,92
46,46,35
11,40,16
16,16,86
1,1,29
74,74,50
33,74,74
91,91,32
60,60,33
64,15,15
52,52,47
23,23,60
4,4,74
11,11,35
52,52,47
37,58,19
24,24,7
95,95,30
25,89,13
39,39,78
51,51,74
58,58,13
58,58,41
77,16,16
18,99,99
59,60,60
45,45,34
66,66,50
58,58,13
20,20,39
24,79,79
4,74,74
36,36,50
8,8,85
87,87,51
10,10,51
30,73,66
47,47,59
54,54,91
99,99,38
51,51,92
83,83,45
9,9,90
37,45,45
4,27,27
83,55,55
95,95,30
83,83,98
32,18,18
73,73,25
18,18,51
40,40,84
39,39,8
64,66,66
22,22,91
80,80,65
28,16,16
28,28,10
40,11,84
95,95,30
98,98,45
83,83,45
12,12,22
24,7,7
45,45,11
13,13,81
94,94,72
24,24,74
58,58,89
63,63,42
7,7,18
87,87,94
6,6,79
78,78,10
68,68,18
60,60,31
6,6,45
23,23,71
44,44,80
31,31,42
80,80,63
93,93,63
73,93,93
98,11,11
49,49,33
90,89,89
97,97,34
59,59,33
2,2,53
67,67,30
16,9,9
81,81,33
94,94,76
27,12,12
76,99,99
77,77,51
12,12,3
18,6,6
0,0,74
76,76,39
79,79,6
71,12,12
89,89,93
57,57,53
47,59,59
24,24,24
65,65,64
0,45,45
32,32,67
36,36,34
82,82,14
31,31,56
23,23,49
24,24,7
34,34,1
21,21,55
11,11,98
53,53,0
80,80,38
44,44,93
4,4,74
39,39,23
91,91,73
16,16,40
36,36,50
68,68,76
50,50,67
97,66,66
58,58,33
31,31,75
6,6,74
42,42,47
80,80,65
76,76,40
89,89,13
55,55,30
19,19,75
91,91,73
70,82,82
1,1,44
6,6,44
62,62,70
99,99,61
51,51,92
96,96,52
83,0,0
42,42,75
18,18,1
67,67,72
66,80,32
40,40,76
62,62,92
78,78,44
84,84,5
28,28,0
89,89,8
30,30,73
66,66,55
18,6,6
38,38,3
42,42,43
92,92,0
27,91,91
11,44,44
86,86,39
44,27,27
96,96,37
12,12,17
16,87,87
67,67,74
43,88,88
89,89,48
96,96,33
12,12,41
40,40,84
7,7,24
86,46,95
77,38,38
76,76,16
31,31,3
18,18,59
28,28,40
19,19,79
18,18,44
41,41,41
42,42,51
43,15,15
31,15,15
93,67,67
15,15,3
10,61,61
8,8,22
37,17,17
89,89,17
32,64,64
67,67,32
12,12,13
2,2,45
19,19,31
91,91,1
94,94,76
7,14,14
71,71,23
36,36,1
61,61,76
62,62,83
5,5,58
60,60,0
45,67,67
91,91,72
34,34,97
95,73,67
9,9,40
40,1,36
68,68,12
62,62,51
99,99,39
66,66,97
46,21,21
7,7,24
10,10,51
10,22,22
68,68,3
34,80,80
37,81,81
58,58,13
48,48,8
40,40,90
96,96,63
14,14,88
11,35,35
66,66,26
64,64,50
39,39,51
33,33,12
94,94,84
63,63,64
10,61,61
89,89,26
92,54,51
90,90,19
65,4,4
90,90,87
33,33,96
28,28,96
29,29,38
87,5,84
86,86,66
7,7,24
0,0,53
94,94,84
11,11,46
26,26,35
6,6,18
41,41,41
21,55,80
69,69,23
27,93,93
29,29,99
67,67,76
85,85,37
65,65,44
40,40,25
57,57,51
72,72,3
30,30,91
74,64,64
27,27,42
3,4,4
49,49,18
52,52,47
95,95,73
40,40,46
93,93,72
77,74,74
91,69,80
6,6,26
57,57,77
72,72,55
16,16,86
98,98,95
89,89,42
40,40,18
96,47,80
71,71,73
3,3,80
2,46,46
66,66,42
27,5,5
8,8,10
53,53,83
33,96,96
55,21,88
81,58,58
88,88,66
96,96,51
68,68,60
42,42,78
77,77,55
10,10,28
27,3,4
32,32,14
79,80,63
98,98,11
18,69,76
51,51,84
2,11,11
19,19,51
31,31,19
67,67,95
36,36,64
10,10,51
16,16,22
5,5,25
81,81,37
85,85,90
26,33,33
85,85,37
65,65,38
22,22,61
55,4,4
85,85,87
22,22,10
22,5,5
10,78,22
18,83,83
98,36,36
9,9,22
26,29,29
27,27,26
7,24,24
5,5,33
58,58,12
87,87,39
76,76,69
2,11,11
54,70,70
38,38,27
33,33,96
17,17,69
6,6,79
0,0,83
79,79,77
97,97,88
14,14,75
14,14,75
73,73,32
79,79,14
8,44,44
42,42,74
4,15,15
25,25,5
37,37,85
75,75,51
74,74,63
41,7,7
0,0,53
99,73,73
79,79,8
87,87,22
67,67,93
72,72,63
38,38,34
25,25,40
49,49,90
3,21,21
74,74,63
69,91,41
36,57,77
77,77,14
89,89,85
71,71,51
31,31,15
50,28,28
90,90,81
11,11,35
2,22,22
41,41,89
38,38,63
58,58,41
47,47,47
93,93,95
68,68,12
11,11,35
35,36,36
67,67,77
54,54,62
53,53,53
30,73,73
36,36,50
83,45,45
54,54,1
64,64,4
46,46,32
45,48,44
98,98,72
62,62,70
46,46,35
95,95,30
88,42,42
37,17,17
18,44,44
29,89,89
63,63,93
8,8,61
33,76,76
35,35,98
6,18,18
76,76,90
19,19,3
99,99,78
53,70,70
15,15,38
57,54,54
2,2,11
27,27,42
27,73,67
93,30,30
81,81,37
54,54,84
71,71,23
26,14,14
25,33,33
35,35,2
30,95,95
72,72,55
8,99,78
42,42,51
62,62,47
56,56,82
78,55,55
47,47,96
73,73,27
43,43,55
20,20,25
83,45,45
63,3,4
49,49,29
28,10,10
26,26,45
45,45,84
36,55,55
36,36,63
68,68,56
1,48,48
2,98,98
99,26,26
9,17,17
65,26,26
38,38,34
58,58,41
