label,origin_pred,pred_eps=4.0
49,68,68
33,84,84
72,93,93
51,51,91
71,71,23
92,6,6
15,89,89
14,7,7
23,23,71
0,0,57
71,56,12
75,75,55
81,81,90
69,69,69
40,40,28
43,43,38
92,92,92
97,97,64
70,70,70
53,53,53
70,70,70
49,49,49
75,75,55
29,69,69
21,21,21
16,16,16
39,39,39
8,8,8
8,8,16
70,98,98
20,20,20
61,10,10
41,41,41
93,73,73
56,56,52
73,27,27
58,58,45
11,35,35
25,25,93
37,37,81
63,63,21
24,24,24
49,49,72
73,30,30
56,56,56
22,22,22
41,41,89
58,58,58
75,75,14
17,17,34
4,4,4
6,6,19
9,9,16
57,57,2
2,36,36
32,2,2
71,71,71
52,52,96
42,42,6
69,69,95
77,77,99
27,27,63
15,90,90
65,38,44
7,7,62
35,98,98
43,43,15
82,62,62
63,63,63
92,92,54
66,8,8
90,81,81
67,28,28
91,91,78
32,67,67
32,32,32
82,82,82
10,10,16
77,77,98
22,61,61
71,71,73
78,78,44
54,54,54
6,6,7
29,29,44
89,89,13
78,99,99
33,42,42
11,11,35
67,72,72
22,22,61
18,18,80
27,27,78
21,21,98
13,13,90
21,21,55
50,80,80
75,75,14
37,37,17
35,54,54
26,26,79
83,1,1
47,96,17
95,18,18
43,43,77
69,69,69
76,76,76
17,17,17
57,57,53
59,59,52
25,25,5
20,20,20
27,27,78
0,0,98
9,9,9
71,71,56
8,8,48
43,43,43
57,57,77
56,56,56
85,85,41
10,2,2
19,19,38
92,92,70
33,33,37
20,20,20
21,3,3
50,42,42
70,70,70
46,46,35
11,16,16
16,16,16
1,1,91
74,74,99
33,72,72
91,91,74
60,60,22
64,64,35
52,52,47
23,23,23
4,4,63
11,11,11
52,52,96
37,37,17
24,7,7
95,95,30
25,13,13
39,39,39
51,51,91
58,58,19
58,41,41
77,77,99
18,73,97
59,60,60
45,45,34
66,66,55
58,58,85
20,20,20
24,7,7
4,42,42
36,36,36
8,8,85
87,87,72
10,10,0
30,30,27
47,47,52
54,54,54
99,65,65
51,51,99
83,83,10
9,9,3
37,45,45
4,45,45
83,16,16
95,95,95
83,83,26
32,95,95
73,73,95
18,18,1
40,40,40
39,39,8
64,78,18
22,22,22
80,80,36
28,16,16
28,28,28
40,40,84
95,95,72
98,98,26
83,83,45
12,12,12
24,7,7
45,45,26
13,13,13
94,94,28
24,24,24
58,58,89
63,42,42
7,18,18
87,87,13
6,6,18
78,78,78
68,68,90
60,60,71
6,6,45
23,23,23
44,44,50
31,31,19
80,80,72
93,93,78
73,67,67
98,98,11
49,49,41
90,90,81
97,97,80
59,33,33
2,53,53
67,67,95
16,16,83
81,81,37
94,94,94
27,68,68
76,24,24
77,77,40
12,13,42
18,34,34
0,0,7
76,76,39
79,79,79
71,71,90
89,89,85
57,57,53
47,59,59
24,24,24
65,65,64
0,10,10
32,32,51
36,36,4
82,82,82
31,31,31
23,23,23
24,24,24
34,34,50
21,21,98
11,11,35
53,53,53
80,80,38
44,44,93
4,4,4
39,39,39
91,91,99
16,16,16
36,64,63
68,68,68
50,50,63
97,97,43
58,58,85
31,31,75
6,6,24
42,42,42
80,80,42
76,76,76
89,89,89
55,55,63
19,19,97
91,91,91
70,47,47
1,44,44
6,6,44
62,1,1
99,99,99
51,51,51
96,96,52
83,0,0
42,42,78
18,18,51
67,67,67
66,80,80
40,40,40
62,62,62
78,78,44
84,84,84
28,28,28
89,89,89
30,30,73
66,55,55
18,6,6
38,75,75
42,42,42
92,92,53
27,91,91
11,44,44
86,86,86
44,44,63
96,96,1
12,12,25
16,16,22
67,67,67
43,19,19
89,89,48
96,96,33
12,12,86
40,40,71
7,7,0
86,73,73
77,18,18
