label,origin_pred,pred_eps=4.0
49,68,79
33,84,84
72,93,93
51,51,91
71,71,23
92,6,6
15,89,89
14,7,7
23,23,71
0,0,57
71,56,12
75,75,91
81,81,90
69,69,76
40,40,28
43,43,38
92,92,62
97,97,64
70,70,70
53,53,40
70,70,51
49,49,95
75,75,55
29,69,79
21,21,35
16,16,10
39,39,39
8,8,16
8,8,16
70,98,98
20,20,5
61,10,10
41,41,44
93,73,73
56,56,80
73,27,27
58,58,26
11,35,35
25,25,93
37,37,81
63,63,65
24,24,98
49,49,95
73,30,30
56,56,52
22,22,61
41,41,89
58,58,25
75,75,3
17,17,34
4,4,35
6,6,19
9,9,18
57,57,2
2,36,36
32,2,2
71,71,95
52,52,59
42,42,43
69,69,95
77,77,99
27,27,67
15,90,90
65,38,44
7,7,62
35,98,98
43,43,15
82,62,62
63,63,77
92,92,54
66,8,8
90,81,79
67,28,23
91,91,78
32,67,67
32,32,46
82,82,82
10,10,13
77,77,46
22,61,61
71,71,73
78,78,44
54,54,92
6,6,7
29,29,44
89,89,13
78,99,99
33,42,42
11,11,35
67,72,72
22,22,61
18,18,80
27,27,26
21,21,98
13,13,90
21,21,55
50,80,80
75,75,14
37,37,17
35,54,54
26,26,79
83,1,1
47,96,17
95,18,18
43,43,63
69,69,95
76,76,12
17,17,12
57,57,53
59,59,52
25,25,5
20,20,5
27,27,1
0,0,57
9,9,57
71,71,3
8,8,48
43,43,88
57,57,77
56,56,56
85,85,90
10,2,2
19,19,38
92,92,70
33,33,37
20,20,84
21,3,3
50,42,42
70,70,62
46,46,35
11,16,16
16,16,86
1,1,91
74,74,78
33,72,72
91,91,74
60,60,17
64,64,35
52,52,47
23,23,60
4,4,63
11,11,35
52,52,96
37,37,17
24,7,7
95,95,30
25,13,13
39,39,18
51,51,91
58,58,19
58,41,41
77,77,99
18,73,73
59,60,60
45,45,44
66,66,55
58,58,85
20,20,20
24,7,77
4,42,42
36,36,65
8,8,85
87,87,72
10,10,0
30,30,73
47,47,59
54,54,54
99,65,38
51,51,78
83,83,10
9,9,3
37,45,45
4,45,6
83,16,16
95,95,69
83,83,26
