label,origin_pred,pred_eps=8.0
49,90,90
33,33,47
72,55,55
51,51,4
71,71,23
92,6,6
15,27,27
14,63,63
23,71,71
0,0,18
71,12,12
75,75,93
81,81,90
69,69,23
40,40,29
43,43,18
92,92,62
97,97,64
70,70,92
53,53,40
70,70,62
49,49,95
75,75,26
29,81,81
21,21,35
16,16,10
39,39,85
8,8,78
8,8,89
70,98,98
20,20,5
61,61,10
41,41,6
93,73,73
56,56,33
73,72,72
58,58,45
11,35,35
25,25,18
37,37,45
63,63,45
24,24,18
49,95,95
73,30,30
56,56,59
22,22,61
41,41,48
58,58,13
75,31,31
17,29,29
4,4,59
6,6,45
9,9,59
57,57,27
2,2,63
32,32,93
71,71,18
52,52,42
42,42,63
69,69,93
77,99,99
27,27,82
15,19,19
65,65,33
7,62,62
35,98,98
43,43,42
82,82,62
63,63,65
92,92,54
66,38,38
90,89,89
67,67,63
91,91,78
32,67,67
32,32,35
82,82,92
10,10,78
77,77,18
22,61,61
71,71,23
78,78,93
54,54,45
6,79,79
29,29,64
89,89,13
78,99,99
33,33,59
11,11,35
67,67,10
22,22,10
18,18,80
27,27,41
21,21,42
13,13,90
21,21,45
50,50,93
75,79,79
37,37,46
35,29,29
26,26,79
83,53,53
47,96,96
95,86,86
43,43,33
69,69,23
76,76,30
17,17,12
57,57,18
59,47,47
25,25,39
20,20,26
27,27,91
0,83,83
9,9,79
71,71,23
8,8,48
43,43,63
57,57,77
56,56,79
85,85,90
10,2,2
19,19,63
92,92,70
33,33,18
20,20,45
21,21,3
50,15,15
70,70,62
46,11,11
11,16,16
16,16,18
1,1,45
74,74,42
33,3,3
91,91,67
60,60,63
64,64,46
52,52,47
23,23,91
4,4,74
11,11,35
52,52,18
37,55,55
24,7,7
95,95,30
25,13,13
39,39,78
51,51,96
58,58,31
58,58,25
77,77,93
18,97,97
59,49,49
45,7,7
66,66,27
58,58,85
20,20,5
24,77,77
4,50,50
36,36,61
8,8,33
87,87,77
10,40,40
30,30,63
47,52,52
54,54,62
99,99,4
51,51,78
83,10,10
9,9,46
37,17,17
4,27,27
83,16,16
95,95,91
83,83,45
32,18,18
73,73,23
18,18,63
40,40,63
39,39,33
64,38,38
22,22,85
80,80,65
28,28,7
28,28,93
40,11,11
95,95,93
98,46,46
83,83,45
12,12,81
24,7,7
45,45,78
13,13,81
94,94,10
24,24,7
58,58,18
63,42,42
7,7,18
87,87,39
6,6,50
78,78,10
68,68,93
60,60,31
6,6,45
23,23,10
44,44,80
31,31,33
80,80,74
93,93,63
73,93,93
98,11,11
49,49,93
90,89,89
97,97,50
59,33,33
2,2,26
67,67,30
16,16,18
81,81,45
94,94,33
27,68,68
76,99,99
77,77,18
12,12,72
18,38,38
0,0,39
76,76,10
79,79,33
71,71,33
89,89,80
57,57,77
47,59,59
24,24,7
65,36,36
0,83,83
32,32,45
36,36,42
82,82,62
31,31,14
23,23,67
24,24,7
34,34,56
21,21,42
11,11,93
53,53,51
80,80,65
44,26,26
4,4,45
39,39,10
91,91,33
16,16,93
36,36,63
68,68,33
50,74,74
97,97,78
58,8,8
31,65,65
6,6,39
42,42,88
80,80,65
76,76,10
89,89,93
55,55,63
19,19,45
91,91,2
70,70,82
1,1,44
6,6,44
62,62,26
99,99,10
51,51,70
96,96,59
83,0,0
42,42,51
18,18,91
67,67,93
66,80,80
40,40,11
62,62,6
78,78,44
84,84,12
28,28,45
89,89,85
30,30,39
66,66,88
18,6,6
38,4,4
42,42,88
92,92,91
27,27,78
11,55,55
86,86,10
44,44,4
96,96,84
12,12,79
16,22,22
67,67,63
43,19,19
89,89,48
96,96,33
12,12,41
40,40,63
7,7,6
86,16,16
77,44,44
76,76,73
31,31,51
18,18,93
28,28,63
19,19,45
18,18,51
41,41,24
42,42,59
43,65,65
31,15,15
93,93,10
15,15,63
10,61,61
8,8,61
37,17,17
89,89,34
32,65,65
67,67,7
12,12,7
2,2,45
19,31,31
91,91,62
94,94,76
7,14,14
71,71,0
36,36,33
61,61,10
62,62,7
5,73,73
60,60,23
45,67,67
91,73,73
34,34,67
95,95,93
9,9,10
40,40,23
68,68,18
62,62,92
99,99,39
66,66,97
46,21,21
7,24,24
10,10,33
10,14,14
68,68,18
34,65,65
37,49,49
58,58,14
48,48,27
40,40,93
96,96,91
14,14,88
11,35,35
66,38,38
64,64,32
39,39,61
33,12,12
94,94,33
63,63,93
10,10,78
89,26,26
92,92,51
90,68,68
65,51,51
90,90,39
33,33,96
28,28,40
29,29,38
87,5,5
86,86,38
7,7,24
0,0,10
94,94,82
11,11,45
26,26,93
6,6,18
41,41,14
21,80,80
69,69,93
27,45,45
29,29,63
67,73,73
85,85,90
65,65,39
40,40,80
57,57,10
72,6,6
30,30,10
74,64,64
27,27,59
3,4,4
49,49,33
52,52,18
95,73,73
40,40,51
93,93,45
77,80,80
91,30,30
6,6,39
57,57,77
72,72,55
16,16,9
98,98,91
89,89,42
40,40,63
96,96,77
71,71,23
3,80,80
2,46,46
66,66,97
27,65,65
8,8,82
53,53,82
33,96,96
55,80,80
81,85,85
88,88,96
96,96,33
68,68,23
42,42,78
77,77,33
10,40,40
27,66,66
32,46,46
79,79,63
98,98,35
18,69,69
51,51,40
2,27,27
19,19,51
31,31,15
67,67,93
36,36,63
10,10,51
16,16,22
5,5,59
81,81,78
85,85,89
26,79,79
85,85,37
65,65,34
22,61,61
55,4,4
85,85,13
22,22,10
22,84,84
10,10,78
18,18,61
98,36,36
9,9,93
26,29,29
27,27,93
7,7,27
5,5,79
58,58,10
87,87,39
76,76,23
2,2,87
54,70,70
38,74,74
33,33,47
17,17,76
6,6,14
0,0,14
79,79,93
97,97,27
14,50,50
14,14,44
73,64,64
79,79,62
8,85,85
42,42,3
4,6,6
25,25,33
37,37,85
75,75,18
74,74,32
41,7,7
0,0,42
99,73,73
79,79,25
87,87,25
67,67,93
72,3,3
38,97,97
25,94,94
49,49,26
3,21,21
74,74,27
69,41,41
36,1,1
77,4,4
89,89,90
71,71,18
31,65,65
50,32,32
90,90,81
11,11,35
2,2,21
41,41,48
38,63,63
58,58,89
47,47,18
93,93,7
68,68,66
11,11,35
35,36,36
67,72,72
54,54,10
53,53,51
30,67,67
36,36,45
83,83,70
54,54,23
64,64,27
46,46,45
45,45,93
98,98,37
62,62,70
46,46,10
95,95,93
88,42,42
37,17,17
18,44,44
29,89,89
63,63,45
8,8,78
33,33,76
35,35,98
6,14,14
76,76,93
19,19,59
99,99,44
53,70,70
15,19,19
57,92,92
2,2,47
27,27,79
27,27,63
93,93,33
81,81,37
54,92,92
71,49,49
26,7,7
25,96,96
35,11,11
30,95,95
72,55,55
8,99,99
42,42,26
62,45,45
56,56,59
78,26,26
47,47,33
73,27,27
43,43,18
20,20,19
83,45,45
63,89,89
49,49,18
28,10,10
26,26,45
45,45,26
36,32,32
36,36,63
68,68,96
1,84,84
2,2,98
99,44,44
9,17,17
65,26,26
38,38,65
58,58,26
96,96,47
38,50,50
87,87,16
82,82,62
22,10,10
83,0,0
41,41,35
7,92,92
12,89,89
10,10,14
35,35,78
44,85,85
81,81,48
91,91,44
56,56,10
9,9,7
24,7,7
3,6,6
30,73,73
1,1,62
39,39,45
98,55,55
72,55,55
83,83,27
80,29,29
43,43,42
84,84,45
66,66,75
4,4,78
64,64,51
77,77,42
98,98,45
82,82,14
81,81,89
20,40,40
0,0,1
48,48,41
46,35,35
33,33,78
22,22,61
13,13,58
17,49,49
39,39,99
76,76,69
0,0,26
17,17,93
64,64,55
48,48,8
90,35,35
93,93,69
82,82,62
75,75,63
96,96,84
97,97,33
3,3,80
83,92,92
60,60,47
61,61,22
32,32,93
26,26,10
84,25,25
41,89,89
12,12,77
85,85,81
12,76,76
8,8,25
82,82,62
72,72,63
94,94,82
7,74,74
22,22,81
15,15,26
66,66,88
89,89,58
97,97,33
19,19,79
0,0,63
19,15,15
5,5,91
56,56,59
36,36,34
45,45,7
1,1,29
94,94,14
66,80,80
86,87,87
82,82,62
17,17,80
64,36,36
99,99,88
34,38,38
30,30,97
73,39,39
83,83,10
6,63,63
1,1,67
28,28,40
77,77,63
91,91,18
74,4,4
68,68,18
14,14,29
14,14,93
1,91,91
92,92,62
97,97,80
45,45,26
7,14,14
21,21,98
37,37,49
32,32,59
73,73,93
88,88,44
86,86,21
92,92,14
14,14,27
86,10,10
74,74,27
25,25,39
93,93,10
78,78,7
77,18,18
88,88,50
42,63,63
10,10,91
65,65,82
26,26,29
31,31,80
85,85,18
78,45,45
29,72,72
32,32,63
81,81,90
97,97,55
1,1,73
82,82,14
0,57,57
21,4,4
15,31,31
56,59,59
57,57,77
97,64,64
76,76,26
60,60,0
87,25,25
46,35,35
1,1,93
61,61,63
75,75,18
62,62,47
21,21,4
61,61,63
78,78,82
90,90,33
68,68,90
94,94,10
88,88,42
95,69,69
3,4,4
83,83,11
32,32,51
93,93,10
77,77,32
38,38,51
63,93,93
61,61,10
41,41,7
88,88,42
83,83,18
35,2,2
82,82,6
50,50,63
15,15,14
48,48,8
25,11,11
4,4,63
71,71,33
8,8,42
98,98,86
67,32,32
7,45,45
85,85,37
25,25,33
96,96,33
60,60,23
55,4,4
80,80,65
13,13,82
90,90,33
54,54,25
15,15,77
76,76,18
39,39,78
95,95,18
24,24,7
7,7,59
64,64,63
70,70,54
88,88,33
81,81,59
0,0,51
12,12,40
64,64,96
31,31,93
79,79,89
86,86,25
60,60,0
22,22,10
38,72,72
82,82,92
14,14,45
48,48,89
33,75,75
55,55,93
53,53,82
40,87,87
1,1,25
58,58,37
94,94,20
70,92,92
29,29,47
86,57,57
23,23,10
46,46,33
58,58,33
99,99,39
78,42,42
10,10,32
53,53,57
37,37,90
97,34,34
65,65,77
15,15,33
77,26,26
52,52,93
63,63,79
32,32,93
6,26,26
36,36,67
6,45,45
7,7,77
36,81,81
74,43,43
13,13,37
22,22,77
32,67,67
54,54,91
62,92,92
84,10,10
57,57,77
25,25,23
11,11,35
62,62,82
85,27,27
31,31,3
26,26,24
16,76,76
96,33,33
71,71,23
90,90,81
39,39,42
20,5,5
47,47,96
35,35,63
19,19,63
52,52,18
66,74,74
32,32,77
53,57,57
53,53,82
21,21,35
98,98,46
6,6,26
88,80,80
71,71,23
45,15,15
98,46,46
55,55,93
99,1,1
24,24,7
93,93,26
67,50,50
33,33,96
16,16,82
33,1,1
9,9,16
10,40,40
46,46,51
68,68,33
24,24,7
96,47,47
22,40,40
40,33,33
63,31,31
53,53,70
10,16,16
14,51,51
41,41,27
77,77,46
54,54,84
84,5,5
20,20,25
29,29,32
76,76,44
36,65,65
1,54,54
26,26,45
99,45,45
2,2,42
96,59,59
69,69,93
36,36,25
18,18,80
90,90,33
66,66,27
52,47,47
37,37,81
99,99,63
97,50,50
12,12,93
55,55,63
15,15,93
85,85,59
15,15,26
16,86,86
33,96,96
99,99,61
80,80,76
28,28,18
69,99,99
51,51,63
72,72,93
39,39,10
8,8,48
56,56,96
59,52,52
15,46,46
21,21,35
77,77,18
45,7,7
21,21,4
80,93,93
89,89,3
37,37,93
48,48,41
47,96,96
56,59,59
65,65,2
96,96,93
14,14,44
52,33,33
2,2,47
60,60,23
9,9,18
68,68,60
22,22,42
23,23,5
44,72,72
19,31,31
54,54,62
97,97,38
23,71,71
54,54,70
62,62,92
56,56,59
23,23,33
42,42,63
81,81,93
66,64,64
87,16,16
47,47,78
47,96,96
45,44,44
42,42,88
51,51,34
10,10,44
35,11,11
68,71,71
13,13,33
55,30,30
34,34,88
74,80,80
47,47,27
40,55,55
51,51,93
6,6,82
3,3,63
76,76,93
52,47,47
53,53,62
34,34,42
60,60,0
63,63,65
28,28,10
24,24,7
36,36,33
69,69,34
82,89,89
90,90,81
70,70,62
75,58,58
77,77,45
43,43,42
43,43,42
78,78,59
81,81,18
80,80,27
66,66,42
35,35,42
84,84,59
21,46,46
49,49,39
96,85,85
15,15,3
37,37,17
2,35,35
89,8,8
36,36,63
9,9,93
53,53,67
91,91,77
65,65,63
67,23,23
94,94,10
40,40,34
72,55,55
90,90,27
86,86,91
85,44,44
30,95,95
92,82,82
25,25,63
60,60,18
2,98,98
29,29,80
0,0,51
9,9,17
37,37,81
1,29,29
50,74,74
